gu,Date,offense,Count
RIVERSIDE,2021-03-01,RAPE,4
PANALUM,2021-03-01,DISTURBANCE,5
TAMBOBONG,2021-03-01,MURDER,4
BARANGAY 5-A (POB.),2021-03-01,DATA BREACH,4
LACSON,2021-04-01,CYBER LIBEL,1
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2021-04-01,VANDALISM,5
MAGSAYSAY,2021-04-01,VANDALISM,5
BARANGAY 17-B,2021-04-01,CYBER LIBEL,4
CAWAYAN,2021-04-01,DATA BREACH,3
BARANGAY 22-C,2021-04-01,IDENTITY THEFT,4
BANTOL,2021-04-01,THREATS,3
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-04-01,DISTURBANCE,6
MAGSAYSAY,2021-04-01,THREATS,2
40-D BOLTON ISLA,2021-04-01,ILLEGAL GAMBLING,2
MARAPANGI,2021-04-01,MURDER,7
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2021-04-01,DISTURBANCE,4
BUNAWAN (POB.),2021-04-01,PHYSICAL INJURY,5
SALOY,2021-04-01,ILLEGAL GAMBLING,5
LASANG,2021-04-01,COMPUTER FRAUD,3
PANALUM,2021-04-01,UNAUTHORIZED ACCESS,1
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2021-04-01,DISTURBANCE,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-04-01,ROBBERY,2
BARANGAY 22-C,2021-04-01,RAPE,7
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2021-04-01,ROBBERY,3
VICENTE HIZON SR.,2021-04-01,DATA BREACH,3
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2021-04-01,UNAUTHORIZED ACCESS,2
BAGO OSHIRO,2021-04-01,ILLEGAL GAMBLING,2
TORII (POB.),2021-04-01,PHYSICAL INJURY,4
ULA,2021-04-01,THEFT,2
BARANGAY 13-B,2021-04-01,UNAUTHORIZED ACCESS,1
CATALUNAN GRANDE,2021-04-01,THREATS,2
"MANDUG (BRGY UNDER PS 13, DCPO)",2021-04-01,MURDER,6
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2021-04-01,PHYSICAL INJURY,5
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2021-04-01,RAPE,7
CARMEN,2021-04-01,CYBER LIBEL,2
MAPI-ILA,2021-04-01,COMPUTER FRAUD,1
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2021-04-01,ILLEGAL DRUGS,5
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2021-04-01,ONLINE SCAM,4
BARANGAY 3-A (POB.),2021-04-01,ROBBERY,5
SALAPAWAN,2021-04-01,THEFT,2
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2021-04-01,ROBBERY,3
BARANGAY 26-C,2021-04-01,HACKING,4
BARANGAY 2-A (POB.),2021-04-01,ILLEGAL POSSESSION OF FIREARM,5
TAPAK,2021-04-01,IDENTITY THEFT,4
TORII (POB.),2021-04-01,THEFT,5
ILANG,2021-04-01,THEFT,2
BARANGAY 11-A,2021-04-01,COMPUTER FRAUD,4
SALAPAWAN,2021-04-01,ROBBERY,6
GUMITAN,2021-04-01,MURDER,6
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-04-01,DRUNK DRIVING,7
BUHANGIN (POB.),2021-04-01,ILLEGAL POSSESSION OF FIREARM,3
WINES,2021-04-01,RAPE,7
SASA,2021-04-01,DISTURBANCE,3
BARANGAY 23-C,2021-04-01,CYBER LIBEL,4
PANACAN,2021-04-01,DISTURBANCE,3
BARANGAY 3-A (POB.),2021-04-01,VANDALISM,5
BUDA,2021-04-01,ROBBERY,6
BARANGAY 2-A (POB.),2021-04-01,DISTURBANCE,2
MINTAL,2021-04-01,IDENTITY THEFT,1
BARANGAY 32-D,2021-04-01,ILLEGAL POSSESSION OF FIREARM,7
MAPI-ILA,2021-04-01,COMPUTER FRAUD,1
MAGSAYSAY,2021-04-01,MURDER,5
RIVERSIDE,2021-04-01,THEFT,7
WINES,2021-04-01,ILLEGAL GAMBLING,5
74-A (MATINA CROSSING),2021-04-01,PHYSICAL INJURY,4
WANGAN,2021-04-01,ILLEGAL POSSESSION OF FIREARM,4
BAGUIO PROPER,2021-04-01,HACKING,3
LAMANAN,2021-04-01,THREATS,5
BAO JOAQUIN,2021-04-01,ILLEGAL GAMBLING,5
MAPI-ILA,2021-04-01,CYBER LIBEL,1
PANACAN,2021-04-01,MURDER,5
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2021-04-01,HACKING,3
CATALUNAN GRANDE,2021-04-01,PHYSICAL INJURY,6
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2021-04-01,IDENTITY THEFT,1
BAYABAS,2021-04-01,CYBER LIBEL,3
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2021-04-01,MURDER,6
CABANTIAN,2021-04-01,ONLINE SCAM,1
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2021-04-01,PHYSICAL INJURY,7
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2021-04-01,ILLEGAL POSSESSION OF FIREARM,5
SUBASTA,2021-04-01,UNAUTHORIZED ACCESS,2
BARANGAY 26-C,2021-04-01,UNAUTHORIZED ACCESS,3
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2021-04-01,COMPUTER FRAUD,3
TORII (POB.),2021-04-01,DRUNK DRIVING,5
COMMUNAL,2021-04-01,ILLEGAL GAMBLING,3
BARANGAY 28-C,2021-04-01,ILLEGAL DRUGS,7
WANGAN,2021-04-01,HACKING,4
DALIAO,2021-04-01,DRUNK DRIVING,2
WANGAN,2021-04-01,DATA BREACH,3
TIBUNGCO,2021-04-01,THREATS,2
TAPAK,2021-04-01,DATA BREACH,2
MAGSAYSAY,2021-04-01,RAPE,7
SAN ISIDRO,2021-04-01,ONLINE SCAM,1
TUNGKALAN,2021-04-01,THEFT,4
BARANGAY 37-D,2021-04-01,ROBBERY,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-04-01,THREATS,6
BAYABAS,2021-04-01,DRUNK DRIVING,4
MAPI-ILA,2021-04-01,ONLINE SCAM,3
LIZADA,2021-04-01,THREATS,7
BAGANIHAN,2021-04-01,THEFT,5
LUBOGAN,2021-04-01,THREATS,6
BARANGAY 14-B,2021-04-01,DISTURBANCE,2
"INDANGAN (BRGY UNDER PS 13, DCPO)",2021-04-01,ILLEGAL GAMBLING,3
MABUHAY,2021-04-01,CYBER LIBEL,4
MARILOG,2021-05-01,ILLEGAL GAMBLING,7
CABANTIAN,2021-05-01,PHYSICAL INJURY,7
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2021-05-01,ILLEGAL POSSESSION OF FIREARM,3
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-05-01,MURDER,3
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2021-05-01,THEFT,6
BARANGAY 28-C,2021-05-01,CYBER LIBEL,2
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2021-05-01,DRUNK DRIVING,3
MALAGOS,2021-05-01,DATA BREACH,1
FATIMA (BENOWANG),2021-05-01,THREATS,4
TIGATTO,2021-05-01,COMPUTER FRAUD,2
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,DISTURBANCE,5
BARANGAY 32-D,2021-05-01,DATA BREACH,1
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,ROBBERY,6
MULIG,2021-05-01,ROBBERY,6
MARAPANGI,2021-05-01,DATA BREACH,2
WANGAN,2021-05-01,IDENTITY THEFT,1
LASANG,2021-05-01,HACKING,3
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2021-05-01,THREATS,6
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,THEFT,4
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,UNAUTHORIZED ACCESS,2
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2021-05-01,ILLEGAL POSSESSION OF FIREARM,5
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2021-05-01,RAPE,4
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2021-05-01,DATA BREACH,2
BAO JOAQUIN,2021-05-01,HACKING,2
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2021-05-01,ILLEGAL DRUGS,3
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2021-05-01,DATA BREACH,3
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2021-05-01,DATA BREACH,2
FATIMA (BENOWANG),2021-05-01,DRUNK DRIVING,4
SALAPAWAN,2021-05-01,CYBER LIBEL,3
SALAPAWAN,2021-05-01,ILLEGAL DRUGS,4
BANTOL,2021-05-01,HACKING,1
BARANGAY 39-D (POB.),2021-05-01,UNAUTHORIZED ACCESS,4
"INDANGAN (BRGY UNDER PS 13, DCPO)",2021-05-01,UNAUTHORIZED ACCESS,1
BAO JOAQUIN,2021-05-01,DATA BREACH,3
76-A BUCANA,2021-05-01,THEFT,3
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-05-01,THREATS,3
PANALUM,2021-05-01,DISTURBANCE,2
LAMANAN,2021-05-01,UNAUTHORIZED ACCESS,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2021-05-01,ILLEGAL GAMBLING,4
TACUNAN,2021-05-01,ILLEGAL GAMBLING,4
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-05-01,MURDER,6
DALIAO,2021-05-01,IDENTITY THEFT,1
SANTO NINO,2021-05-01,THREATS,5
TUGBOK (POB.),2021-05-01,ROBBERY,4
BARANGAY 2-A (POB.),2021-05-01,UNAUTHORIZED ACCESS,3
MARAPANGI,2021-05-01,PHYSICAL INJURY,2
BARANGAY 18-B,2021-05-01,THEFT,7
BAGUIO PROPER,2021-05-01,ROBBERY,3
BUDA,2021-05-01,DISTURBANCE,6
TAMBOBONG,2021-05-01,ROBBERY,6
MINTAL,2021-05-01,COMPUTER FRAUD,2
GUMITAN,2021-05-01,DRUNK DRIVING,2
BARANGAY 39-D (POB.),2021-05-01,THREATS,3
BANTOL,2021-05-01,THEFT,6
BARANGAY 37-D,2021-05-01,DRUNK DRIVING,7
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2021-05-01,MURDER,7
BARANGAY 18-B,2021-05-01,UNAUTHORIZED ACCESS,1
MINTAL,2021-05-01,ILLEGAL DRUGS,5
BANGKAS HEIGHTS,2021-05-01,DRUNK DRIVING,2
ALAMBRE,2021-05-01,THEFT,6
LASANG,2021-05-01,MURDER,4
BARANGAY 39-D (POB.),2021-05-01,PHYSICAL INJURY,6
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,THEFT,6
BANTOL,2021-05-01,ONLINE SCAM,4
BARANGAY 22-C,2021-05-01,HACKING,2
COMMUNAL,2021-05-01,UNAUTHORIZED ACCESS,2
MULIG,2021-05-01,ILLEGAL DRUGS,5
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2021-05-01,DATA BREACH,1
LASANG,2021-05-01,DRUNK DRIVING,2
LAMANAN,2021-05-01,THEFT,5
BARANGAY 37-D,2021-05-01,ROBBERY,6
BARANGAY 39-D (POB.),2021-05-01,ILLEGAL GAMBLING,5
CAWAYAN,2021-05-01,DISTURBANCE,6
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-05-01,THEFT,3
MINTAL,2021-05-01,HACKING,2
MALAGOS,2021-05-01,ONLINE SCAM,3
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2021-05-01,DRUNK DRIVING,4
CABANTIAN,2021-05-01,UNAUTHORIZED ACCESS,1
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2021-05-01,UNAUTHORIZED ACCESS,1
MARILOG,2021-05-01,UNAUTHORIZED ACCESS,4
SALAYSAY,2021-05-01,RAPE,5
BAGUIO PROPER,2021-05-01,COMPUTER FRAUD,2
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2021-05-01,DRUNK DRIVING,3
74-A (MATINA CROSSING),2021-05-01,ONLINE SCAM,1
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,COMPUTER FRAUD,4
BARANGAY 2-A (POB.),2021-05-01,PHYSICAL INJURY,2
BAO JOAQUIN,2021-05-01,DISTURBANCE,6
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2021-05-01,MURDER,3
BAYABAS,2021-05-01,ILLEGAL DRUGS,4
CARMEN,2021-05-01,VANDALISM,3
SALAYSAY,2021-05-01,COMPUTER FRAUD,4
SASA,2021-05-01,COMPUTER FRAUD,1
40-D BOLTON ISLA,2021-05-01,VANDALISM,4
CABANTIAN,2021-05-01,THREATS,3
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-05-01,ILLEGAL GAMBLING,3
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2021-06-01,ILLEGAL DRUGS,4
CABANTIAN,2021-06-01,UNAUTHORIZED ACCESS,3
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2021-06-01,VANDALISM,4
CALINAN (POB.),2021-06-01,COMPUTER FRAUD,3
"WAAN (BRGY UNDER ps 13, DCPO)",2021-06-01,THEFT,3
BAO JOAQUIN,2021-06-01,CYBER LIBEL,1
BINUGAO,2021-06-01,DISTURBANCE,4
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2021-06-01,DISTURBANCE,5
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2021-06-01,ILLEGAL DRUGS,3
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2021-06-01,UNAUTHORIZED ACCESS,4
MAHAYAG,2021-06-01,VANDALISM,2
76-A BUCANA,2021-06-01,COMPUTER FRAUD,1
BARANGAY 26-C,2021-06-01,DISTURBANCE,5
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2021-06-01,THEFT,5
BARANGAY 3-A (POB.),2021-06-01,COMPUTER FRAUD,2
SALAPAWAN,2021-06-01,PHYSICAL INJURY,3
MAHAYAG,2021-06-01,ILLEGAL DRUGS,2
WANGAN,2021-06-01,COMPUTER FRAUD,3
BUDA,2021-06-01,COMPUTER FRAUD,2
TIGATTO,2021-06-01,HACKING,1
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2021-06-01,DISTURBANCE,4
"INDANGAN (BRGY UNDER PS 13, DCPO)",2021-06-01,DATA BREACH,4
SANTO NINO,2021-06-01,THREATS,3
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2021-06-01,DATA BREACH,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2021-06-01,DRUNK DRIVING,3
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2021-06-01,THEFT,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-06-01,VANDALISM,3
SALOY,2021-06-01,DISTURBANCE,3
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2021-06-01,RAPE,2
SALAYSAY,2021-06-01,VANDALISM,5
PANALUM,2021-06-01,DRUNK DRIVING,4
TACUNAN,2021-06-01,THEFT,6
FATIMA (BENOWANG),2021-06-01,MURDER,4
TAMUGAN,2021-06-01,DATA BREACH,2
BARANGAY 13-B,2021-06-01,THREATS,4
COMMUNAL,2021-06-01,ILLEGAL POSSESSION OF FIREARM,2
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2021-06-01,ILLEGAL GAMBLING,6
SALAYSAY,2021-06-01,ILLEGAL GAMBLING,2
PAMPANGA,2021-06-01,VANDALISM,6
SASA,2021-06-01,DRUNK DRIVING,7
SALAYSAY,2021-06-01,IDENTITY THEFT,4
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2021-06-01,UNAUTHORIZED ACCESS,2
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2021-06-01,RAPE,3
TIGATTO,2021-06-01,CYBER LIBEL,4
GUMITAN,2021-06-01,UNAUTHORIZED ACCESS,2
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-06-01,THEFT,4
TIGATTO,2021-06-01,DATA BREACH,4
WINES,2021-06-01,DRUNK DRIVING,7
DALIAO,2021-06-01,UNAUTHORIZED ACCESS,4
SALOY,2021-06-01,ILLEGAL GAMBLING,2
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-06-01,IDENTITY THEFT,4
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-06-01,PHYSICAL INJURY,2
BARANGAY 38-D (OB.),2021-06-01,MURDER,5
MARILOG,2021-06-01,HACKING,4
BANGKAS HEIGHTS,2021-06-01,ILLEGAL GAMBLING,5
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-06-01,ILLEGAL GAMBLING,7
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2021-06-01,PHYSICAL INJURY,4
SALOY,2021-06-01,RAPE,3
PAQUIBATO (POB.),2021-06-01,IDENTITY THEFT,2
SANTO NINO,2021-06-01,ILLEGAL DRUGS,4
SANTO NINO,2021-06-01,ILLEGAL POSSESSION OF FIREARM,6
MAHAYAG,2021-06-01,THREATS,4
LAMANAN,2021-06-01,ILLEGAL DRUGS,6
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2021-06-01,PHYSICAL INJURY,4
BINUGAO,2021-06-01,HACKING,2
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-06-01,HACKING,1
SALAPAWAN,2021-06-01,MURDER,5
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2021-07-01,ILLEGAL POSSESSION OF FIREARM,7
BARANGAY 2-A (POB.),2021-07-01,COMPUTER FRAUD,1
FATIMA (BENOWANG),2021-07-01,DRUNK DRIVING,2
NEW VALENCIA,2021-07-01,COMPUTER FRAUD,2
MALAGOS,2021-07-01,THEFT,6
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2021-07-01,THEFT,2
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2021-07-01,ROBBERY,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2021-07-01,ILLEGAL GAMBLING,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2021-07-01,ONLINE SCAM,2
MARILOG,2021-07-01,RAPE,7
BAGO OSHIRO,2021-07-01,MURDER,3
BAO JOAQUIN,2021-07-01,COMPUTER FRAUD,1
MAGSAYSAY,2021-07-01,DATA BREACH,1
MARILOG,2021-07-01,CYBER LIBEL,1
DALIAO,2021-07-01,DRUNK DRIVING,2
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-07-01,VANDALISM,5
SANTO NINO,2021-07-01,THEFT,4
TUGBOK (POB.),2021-07-01,PHYSICAL INJURY,4
TAMBOBONG,2021-07-01,HACKING,4
RIVERSIDE,2021-07-01,THREATS,5
CATALUNAN GRANDE,2021-07-01,ONLINE SCAM,1
TAMAYONG,2021-07-01,ONLINE SCAM,2
GUMALANG,2021-07-01,ILLEGAL DRUGS,3
BANGKAS HEIGHTS,2021-07-01,PHYSICAL INJURY,6
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-07-01,ONLINE SCAM,2
BAYABAS,2021-07-01,ROBBERY,2
TORII (POB.),2021-07-01,DRUNK DRIVING,6
BUNAWAN (POB.),2021-07-01,COMPUTER FRAUD,2
TALOMO RIVER,2021-07-01,ONLINE SCAM,1
LASANG,2021-07-01,DATA BREACH,3
EDEN,2021-07-01,ROBBERY,3
BARANGAY 5-A (POB.),2021-07-01,PHYSICAL INJURY,7
SUBASTA,2021-07-01,ILLEGAL DRUGS,6
ALFONSO ANGLIONGTO SR,2021-07-01,ILLEGAL DRUGS,4
EDEN,2021-07-01,PHYSICAL INJURY,5
BUNAWAN (POB.),2021-07-01,UNAUTHORIZED ACCESS,3
LIZADA,2021-07-01,PHYSICAL INJURY,5
BARANGAY 2-A (POB.),2021-07-01,ONLINE SCAM,1
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2021-07-01,ILLEGAL POSSESSION OF FIREARM,3
CALINAN (POB.),2021-07-01,ILLEGAL POSSESSION OF FIREARM,3
BARANGAY 18-B,2021-07-01,RAPE,6
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2021-07-01,ILLEGAL DRUGS,2
MULIG,2021-07-01,ILLEGAL POSSESSION OF FIREARM,5
BARANGAY 32-D,2021-07-01,ILLEGAL DRUGS,6
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2021-07-01,ONLINE SCAM,4
"MANDUG (BRGY UNDER PS 13, DCPO)",2021-07-01,THEFT,3
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2021-07-01,ROBBERY,2
CARMEN,2021-07-01,ONLINE SCAM,3
BARANGAY 28-C,2021-07-01,ILLEGAL POSSESSION OF FIREARM,2
BINUGAO,2021-07-01,THEFT,2
MULIG,2021-07-01,HACKING,4
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2021-07-01,THEFT,7
WINES,2021-07-01,UNAUTHORIZED ACCESS,3
SALOY,2021-07-01,ONLINE SCAM,4
76-A (BUCANA),2021-07-01,UNAUTHORIZED ACCESS,1
CABANTIAN,2021-07-01,UNAUTHORIZED ACCESS,1
BARANGAY 3-A (POB.),2021-07-01,ILLEGAL DRUGS,3
MAGSAYSAY,2021-07-01,DATA BREACH,1
BARANGAY 37-D,2021-07-01,RAPE,7
ULA,2021-07-01,DISTURBANCE,2
BARANGAY 5-A (POB.),2021-07-01,RAPE,5
LAMANAN,2021-07-01,DRUNK DRIVING,7
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2021-07-01,COMPUTER FRAUD,3
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2021-07-01,DISTURBANCE,3
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2021-07-01,ROBBERY,4
SAN ISIDRO,2021-07-01,THREATS,5
BUDA,2021-07-01,DATA BREACH,4
ALFONSO ANGLIONGTO SR,2021-07-01,DRUNK DRIVING,4
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2021-07-01,ILLEGAL GAMBLING,3
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2021-07-01,DISTURBANCE,6
WANGAN,2021-07-01,ILLEGAL DRUGS,7
NEW VALENCIA,2021-07-01,ILLEGAL POSSESSION OF FIREARM,4
LASANG,2021-07-01,CYBER LIBEL,1
WANGAN,2021-07-01,HACKING,3
SANTO NINO,2021-07-01,ILLEGAL POSSESSION OF FIREARM,7
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2021-07-01,UNAUTHORIZED ACCESS,4
76-A (BUCANA),2021-07-01,IDENTITY THEFT,2
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2021-07-01,ROBBERY,2
DALIAO,2021-07-01,VANDALISM,5
LUBOGAN,2021-07-01,VANDALISM,6
76-A BUCANA,2021-07-01,THEFT,7
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2021-07-01,PHYSICAL INJURY,2
NEW VALENCIA,2021-07-01,DATA BREACH,2
RIVERSIDE,2021-07-01,THREATS,4
76-A BUCANA,2021-07-01,MURDER,2
"INDANGAN (BRGY UNDER PS 13, DCPO)",2021-07-01,ILLEGAL DRUGS,7
BAGANIHAN,2021-07-01,ILLEGAL DRUGS,2
PANACAN,2021-07-01,PHYSICAL INJURY,5
SUBASTA,2021-07-01,ROBBERY,7
TALOMO RIVER,2021-07-01,DATA BREACH,3
MAHAYAG,2021-07-01,IDENTITY THEFT,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2021-07-01,DRUNK DRIVING,3
TIGATTO,2021-07-01,ILLEGAL POSSESSION OF FIREARM,6
MALAGOS,2021-07-01,HACKING,2
DALIAO,2021-07-01,COMPUTER FRAUD,1
SALAPAWAN,2021-07-01,THEFT,4
LAMANAN,2021-08-01,ILLEGAL GAMBLING,5
BARANGAY 37-D,2021-08-01,DATA BREACH,2
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2021-08-01,ILLEGAL DRUGS,4
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2021-08-01,COMPUTER FRAUD,4
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2021-08-01,THREATS,5
MULIG,2021-08-01,ILLEGAL GAMBLING,2
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2021-08-01,HACKING,1
SALAYSAY,2021-08-01,ILLEGAL GAMBLING,4
BARANGAY 2-A (POB.),2021-08-01,CYBER LIBEL,2
TALOMO (POB.),2021-08-01,HACKING,4
BUNAWAN (POB.),2021-08-01,UNAUTHORIZED ACCESS,3
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2021-08-01,DRUNK DRIVING,6
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2021-08-01,VANDALISM,5
SASA,2021-08-01,PHYSICAL INJURY,4
TALOMO RIVER,2021-08-01,ILLEGAL GAMBLING,5
BARANGAY 22-C,2021-08-01,HACKING,3
MAHAYAG,2021-08-01,DRUNK DRIVING,6
MABUHAY,2021-08-01,THREATS,3
BANGKAS HEIGHTS,2021-08-01,MURDER,5
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2021-08-01,VANDALISM,3
MULIG,2021-08-01,RAPE,6
ULA,2021-08-01,UNAUTHORIZED ACCESS,4
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-08-01,ILLEGAL GAMBLING,5
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2021-08-01,MURDER,7
BARANGAY 27-C,2021-08-01,ROBBERY,5
COMMUNAL,2021-08-01,COMPUTER FRAUD,1
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2021-08-01,HACKING,3
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2021-08-01,DATA BREACH,4
74-A (MATINA CROSSING),2021-08-01,MURDER,2
BAGUIO PROPER,2021-08-01,ROBBERY,2
ALAMBRE,2021-08-01,PHYSICAL INJURY,3
BARANGAY 5-A (POB.),2021-08-01,DATA BREACH,4
SALAYSAY,2021-08-01,DATA BREACH,3
BARANGAY 14-B,2021-08-01,IDENTITY THEFT,4
WANGAN,2021-08-01,ROBBERY,7
BARANGAY 37-D,2021-08-01,MURDER,5
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2021-08-01,HACKING,3
BAO JOAQUIN,2021-08-01,HACKING,2
RIVERSIDE,2021-08-01,ONLINE SCAM,1
BAGO OSHIRO,2021-08-01,MURDER,4
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2021-08-01,ROBBERY,5
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2021-08-01,ROBBERY,3
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2021-08-01,ONLINE SCAM,1
BINUGAO,2021-08-01,COMPUTER FRAUD,1
SALAPAWAN,2021-08-01,CYBER LIBEL,3
TACUNAN,2021-08-01,RAPE,7
BUHANGIN (POB.),2021-08-01,DATA BREACH,4
LUBOGAN,2021-08-01,ROBBERY,4
